Store ID,Product ID,Average Daily Demand,Current Inventory,Safety Stock,Reorder Point,Recommended Order,Inventory Status
S001,P0001,140.2532561505065,223,179,1161,938,Urgent Reorder
S001,P0002,131.31896551724137,217,173,1092,875,Urgent Reorder
S001,P0003,142.88412017167383,69,177,1177,1108,Urgent Reorder
S001,P0004,141.36909871244634,338,187,1177,839,Monitor Inventory
S001,P0005,134.49493487698987,471,176,1117,646,Monitor Inventory
S001,P0006,131.52789699570815,305,180,1101,796,Monitor Inventory
S001,P0007,138.2725968436155,256,182,1150,894,Urgent Reorder
S001,P0008,140.14182344428366,315,180,1161,846,Monitor Inventory
S001,P0009,133.49710144927536,167,178,1112,945,Urgent Reorder
S001,P0010,134.83931133428982,167,175,1119,952,Urgent Reorder
S001,P0011,134.4906204906205,449,181,1122,673,Monitor Inventory
S001,P0012,132.03468208092485,213,169,1093,880,Urgent Reorder
S001,P0013,135.8154069767442,356,179,1130,774,Monitor Inventory
S001,P0014,138.79913916786228,293,183,1155,862,Monitor Inventory
S001,P0015,138.40317919075144,356,185,1154,798,Monitor Inventory
S001,P0016,134.77187948350073,74,177,1120,1046,Urgent Reorder
S001,P0017,137.378612716763,282,178,1140,858,Urgent Reorder
S001,P0018,139.24028776978415,191,179,1154,963,Urgent Reorder
S001,P0019,136.48699421965318,149,178,1133,984,Urgent Reorder
S001,P0020,141.52532561505066,242,184,1175,933,Urgent Reorder
S002,P0001,146.85878962536023,415,187,1215,800,Monitor Inventory
S002,P0002,131.56978417266188,364,176,1097,733,Monitor Inventory
S002,P0003,134.46666666666667,372,183,1124,752,Monitor Inventory
S002,P0004,137.9785407725322,133,178,1144,1011,Urgent Reorder
S002,P0005,134.26406926406926,464,172,1112,648,Monitor Inventory
S002,P0006,132.97413793103448,160,173,1104,944,Urgent Reorder
S002,P0007,137.82633863965268,145,184,1149,1004,Urgent Reorder
S002,P0008,130.66666666666666,218,176,1091,873,Urgent Reorder
S002,P0009,143.02292263610315,62,185,1186,1124,Urgent Reorder
S002,P0010,135.72109826589596,419,186,1136,717,Monitor Inventory
S002,P0011,136.82564841498558,156,178,1136,980,Urgent Reorder
S002,P0012,141.88311688311688,193,184,1177,984,Urgent Reorder
S002,P0013,134.4244604316547,472,174,1115,643,Monitor Inventory
S002,P0014,135.6998556998557,342,172,1122,780,Monitor Inventory
S002,P0015,131.47826086956522,433,170,1090,657,Monitor Inventory
S002,P0016,139.67381974248926,258,179,1157,899,Urgent Reorder
S002,P0017,133.55907780979828,236,175,1110,874,Urgent Reorder
S002,P0018,141.191091954023,151,185,1173,1022,Urgent Reorder
S002,P0019,133.64150943396226,409,176,1111,702,Monitor Inventory
S002,P0020,144.05865522174534,284,187,1195,911,Urgent Reorder
S003,P0001,130.4,138,175,1088,950,Urgent Reorder
S003,P0002,144.92753623188406,388,185,1199,811,Monitor Inventory
S003,P0003,129.7907647907648,112,170,1079,967,Urgent Reorder
S003,P0004,134.3753623188406,415,172,1113,698,Monitor Inventory
S003,P0005,143.55587392550143,411,180,1185,774,Monitor Inventory
S003,P0006,139.84218077474893,451,189,1168,717,Monitor Inventory
S003,P0007,140.47844827586206,108,183,1166,1058,Urgent Reorder
S003,P0008,135.2227011494253,103,181,1128,1025,Urgent Reorder
S003,P0009,141.60374639769452,496,184,1175,679,Monitor Inventory
S003,P0010,137.44653179190752,413,180,1142,729,Monitor Inventory
S003,P0011,139.72374100719423,137,179,1157,1020,Urgent Reorder
S003,P0012,137.23741007194243,108,181,1142,1034,Urgent Reorder
S003,P0013,150.21645021645023,388,186,1238,850,Monitor Inventory
S003,P0014,146.0839363241679,230,186,1209,979,Urgent Reorder
S003,P0015,140.73216885007278,270,176,1161,891,Urgent Reorder
S003,P0016,143.58764367816093,166,184,1189,1023,Urgent Reorder
S003,P0017,144.62877697841728,239,177,1189,950,Urgent Reorder
S003,P0018,132.66714490674318,375,179,1108,733,Monitor Inventory
S003,P0019,144.38020086083213,253,184,1195,942,Urgent Reorder
S003,P0020,139.19568345323742,417,179,1153,736,Monitor Inventory
S004,P0001,139.82446043165467,497,182,1161,664,Monitor Inventory
S004,P0002,133.15317919075144,181,172,1104,923,Urgent Reorder
S004,P0003,130.89450867052022,419,178,1094,675,Monitor Inventory
