Date,Store ID,Product ID,Category,Region,Inventory Level,Units Sold,Units Ordered,Demand Forecast,Price,Discount,Weather Condition,Holiday/Promotion,Competitor Pricing,Seasonality,Inventory_Coverage,Inventory_Status,Year,Month,Day,DayOfWeek,WeekOfYear,Quarter,IsWeekend,Rolling_7,Rolling_14,Rolling_30,Lag_1,Lag_7,Lag_14,Lag_30,Inventory_Gap,Competitor_Price_Difference,Promotion_Flag
2022-01-31,S001,P0001,Clothing,West,410,200,152,212.24,70.78,0,Sunny,1,68.88,Summer,4.18978102189781,Healthy,2022,1,31,0,5,1,0,97.85714285714286,130.5,114.23333333333333,130.0,9.0,69.0,127.0,312.1428571428571,1.9000000000000057,0
2022-02-01,S001,P0001,Groceries,East,419,279,84,297.26,34.49,0,Sunny,0,33.85,Summer,3.348173515981735,Healthy,2022,2,1,1,5,1,0,125.14285714285714,139.85714285714286,116.66666666666667,200.0,189.0,123.0,81.0,293.8571428571429,0.6400000000000006,0
2022-02-02,S001,P0001,Electronics,South,415,38,149,53.13,52.49,5,Cloudy,0,48.25,Autumn,3.0072463768115942,Healthy,2022,2,2,2,5,1,0,138.0,151.0,123.26666666666667,279.0,49.0,211.0,5.0,277.0,4.240000000000002,0
2022-02-03,S001,P0001,Clothing,South,345,71,186,84.02,27.71,20,Rainy,1,28.96,Winter,2.5287958115183247,Low Stock,2022,2,3,3,5,1,0,136.42857142857142,138.64285714285714,124.36666666666666,38.0,164.0,79.0,58.0,208.57142857142858,-1.25,0
2022-02-04,S001,P0001,Furniture,South,121,25,25,37.72,16.84,15,Cloudy,0,12.53,Autumn,0.9825986078886311,Low Stock,2022,2,4,4,5,1,0,123.14285714285714,138.07142857142858,124.8,71.0,97.0,390.0,147.0,-2.142857142857139,4.3100000000000005,0
2022-02-05,S001,P0001,Groceries,South,458,350,182,362.43,51.44,15,Snowy,0,51.54,Summer,4.058227848101265,Healthy,2022,2,5,5,5,1,1,112.85714285714286,112.0,120.73333333333333,25.0,47.0,191.0,37.0,345.1428571428571,-0.10000000000000142,0
2022-02-06,S001,P0001,Electronics,North,167,69,92,81.06,68.85,5,Cloudy,1,71.82,Spring,1.069533394327539,Low Stock,2022,2,6,6,5,1,1,156.14285714285714,123.35714285714286,131.16666666666666,350.0,130.0,79.0,107.0,10.857142857142861,-2.969999999999999,0
2022-02-07,S001,P0001,Electronics,South,244,62,105,73.41,11.34,5,Rainy,0,9.63,Spring,1.6550387596899225,Low Stock,2022,2,7,0,6,1,0,147.42857142857142,122.64285714285714,129.9,69.0,200.0,9.0,2.0,96.57142857142858,1.709999999999999,0
2022-02-08,S001,P0001,Toys,West,140,12,48,15.6,67.64,10,Cloudy,0,69.12,Spring,1.0961968680089487,Low Stock,2022,2,8,1,6,1,0,127.71428571428571,126.42857142857143,131.9,62.0,279.0,189.0,350.0,12.285714285714292,-1.480000000000004,0
2022-02-09,S001,P0001,Groceries,South,209,16,143,22.37,90.55,0,Rainy,0,90.2,Autumn,2.3333333333333335,Low Stock,2022,2,9,2,6,1,0,89.57142857142857,113.78571428571429,120.63333333333334,12.0,38.0,49.0,36.0,119.42857142857143,0.3499999999999943,0
2022-02-10,S001,P0001,Clothing,South,311,237,102,229.08,89.58,5,Rainy,0,91.4,Spring,3.5983471074380162,Healthy,2022,2,10,3,6,1,0,86.42857142857143,111.42857142857143,119.96666666666667,16.0,71.0,164.0,16.0,224.57142857142856,-1.8200000000000074,0
